Model,Split,Precision@10,Recall@10,AUC,Coverage@10,Diversity@10
Popularity baseline,val,0.058772515010006667,0.09430528634135774,0.8109599784522346,0.014687882496940025,0.82017135443642
Content-based baseline,val,0.01694462975316878,0.028650653465828627,0.6901878474847924,0.3178294573643411,0.39703669978297507
Collaborative logistic,val,0.09132755170113407,0.14414775393630308,0.8910403978931574,0.20563035495716034,0.806134319275302
Collaborative BPR,val,0.09026017344896599,0.14292013147531965,0.8865176211920996,0.20644634842921256,0.8060262144151403
Collaborative WARP-style,val,0.10993995997331557,0.16804494870097192,0.8856004503774692,0.2941656466748266,0.7992187874348202
Hybrid logistic,val,0.09299533022014676,0.1433056633152223,0.9018148640536316,0.2647898816809465,0.7596459928281144
Hybrid BPR,val,0.09299533022014676,0.14467275535407612,0.8949840316483308,0.2868217054263566,0.7591942203811228
Hybrid WARP-style default,val,0.11100733822548366,0.17260272419445466,0.8984820397935904,0.33006935944512444,0.7828716225258364
Hybrid WARP-style tuned,val,0.11747831887925285,0.18002537967839802,0.8976391148734799,0.20195838433292534,0.7767609141202648
Popularity baseline,test,0.058972648432288194,0.09337294908838378,0.8136027736759135,0.01795185638514892,0.8183614980379488
Content-based baseline,test,0.014209472981987992,0.02408673427519235,0.6889279998039104,0.29906160750713995,0.39686307305720253
Hybrid WARP-style default,test,0.12808539026017346,0.20097024294153307,0.9045884859028339,0.34516523867809057,0.784543949449442
Hybrid WARP-style tuned,test,0.133422281521014,0.20713310978521327,0.9010286841287446,0.22031823745410037,0.7805733111303491
