model,user_index,user_id,rank,item_index,anime_id,title,genre,type,validation_hit
popularity,0,93,1,688,1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,False
popularity,0,93,2,706,1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,False
popularity,0,93,3,1880,16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,False
popularity,0,93,4,1140,5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,False
popularity,0,93,5,906,2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,False
popularity,0,93,6,1066,4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,False
popularity,0,93,7,143,199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,False
popularity,0,93,8,157,226,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",TV,False
popularity,0,93,9,829,2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,False
popularity,0,93,10,82,121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,False
popularity,749,36560,1,688,1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,False
popularity,749,36560,2,1140,5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,False
popularity,749,36560,3,906,2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,True
popularity,749,36560,4,1269,6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,False
popularity,749,36560,5,1066,4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,False
popularity,749,36560,6,143,199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,False
popularity,749,36560,7,157,226,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",TV,False
popularity,749,36560,8,829,2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,False
popularity,749,36560,9,82,121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,False
popularity,749,36560,10,1453,9253,Steins;Gate,"Sci-Fi, Thriller",TV,False
popularity,1497,73461,1,706,1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,False
