model,objective,uses_metadata,epoch,loss,completed_batches,loss_examples,violation_rate
collaborative_logistic,logistic,False,1,0.6745875679,22,89313,
collaborative_logistic,logistic,False,2,0.6104184469,22,89313,
collaborative_logistic,logistic,False,3,0.5101013168,22,89313,
collaborative_logistic,logistic,False,4,0.4612061401,22,89313,
collaborative_logistic,logistic,False,5,0.4160193992,22,89313,
collaborative_logistic,logistic,False,6,0.3759886078,22,89313,
collaborative_logistic,logistic,False,7,0.3466852264,22,89313,
collaborative_logistic,logistic,False,8,0.3229317965,22,89313,
collaborative_bpr,bpr,False,1,0.6566059802,22,89313,
collaborative_bpr,bpr,False,2,0.5410455857,22,89313,
collaborative_bpr,bpr,False,3,0.3899407591,22,89313,
collaborative_bpr,bpr,False,4,0.3294041530,22,89313,
collaborative_bpr,bpr,False,5,0.2786670051,22,89313,
collaborative_bpr,bpr,False,6,0.2368975676,22,89313,
collaborative_bpr,bpr,False,7,0.2065718429,22,89313,
collaborative_bpr,bpr,False,8,0.1866156820,22,89313,
collaborative_warp_style,warp_style_hard_negative,False,1,7.7116362083,22,89313,1.0000000000
collaborative_warp_style,warp_style_hard_negative,False,2,5.6212732457,22,88225,0.9878181228
collaborative_warp_style,warp_style_hard_negative,False,3,6.4928223980,22,73069,0.8181227817
collaborative_warp_style,warp_style_hard_negative,False,4,6.5752713702,22,67109,0.7513911749
collaborative_warp_style,warp_style_hard_negative,False,5,5.7921795541,22,63996,0.7165362265
collaborative_warp_style,warp_style_hard_negative,False,6,5.6398176475,22,60141,0.6733734171
collaborative_warp_style,warp_style_hard_negative,False,7,5.5554043488,22,56528,0.6329201796
collaborative_warp_style,warp_style_hard_negative,False,8,5.4536968692,22,53878,0.6032492470
hybrid_logistic,logistic,True,1,0.6664346138,22,89313,
hybrid_logistic,logistic,True,2,0.5513886179,22,89313,
hybrid_logistic,logistic,True,3,0.4600750122,22,89313,
hybrid_logistic,logistic,True,4,0.4148933751,22,89313,
hybrid_logistic,logistic,True,5,0.3847042796,22,89313,
hybrid_logistic,logistic,True,6,0.3582157045,22,89313,
hybrid_logistic,logistic,True,7,0.3367880678,22,89313,
hybrid_logistic,logistic,True,8,0.3179933792,22,89313,
hybrid_bpr,bpr,True,1,0.6411174279,22,89313,
hybrid_bpr,bpr,True,2,0.4442717896,22,89313,
hybrid_bpr,bpr,True,3,0.3224195215,22,89313,
hybrid_bpr,bpr,True,4,0.2716238882,22,89313,
hybrid_bpr,bpr,True,5,0.2413985816,22,89313,
hybrid_bpr,bpr,True,6,0.2166890294,22,89313,
hybrid_bpr,bpr,True,7,0.1975976217,22,89313,
hybrid_bpr,bpr,True,8,0.1826731001,22,89313,
hybrid_warp_style,warp_style_hard_negative,True,1,7.3763011910,22,89313,1.0000000000
hybrid_warp_style,warp_style_hard_negative,True,2,5.6868955968,22,82006,0.9181866022
hybrid_warp_style,warp_style_hard_negative,True,3,6.4557293646,22,67967,0.7609978391
hybrid_warp_style,warp_style_hard_negative,True,4,6.4294351713,22,63252,0.7082059723
hybrid_warp_style,warp_style_hard_negative,True,5,6.2236969297,22,60293,0.6750752970
hybrid_warp_style,warp_style_hard_negative,True,6,6.0090302919,22,57386,0.6425268438
hybrid_warp_style,warp_style_hard_negative,True,7,5.9389081091,22,54988,0.6156774490
hybrid_warp_style,warp_style_hard_negative,True,8,5.8779049306,22,52776,0.5909106177
