user_index,user_id,positive_history_count,rank,item_index,anime_id,title,genre,type,test_hit
1063,52496,16,1,145,205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,False
1063,52496,16,2,0,1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,False
1063,52496,16,3,23,45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,False
1063,52496,16,4,22,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,False
1063,52496,16,5,118,166,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi",TV,False
1063,52496,16,6,305,467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,False
1063,52496,16,7,97,139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,False
1063,52496,16,8,20,33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,False
1063,52496,16,9,278,430,Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",Movie,False
1063,52496,16,10,46,72,Full Metal Panic? Fumoffu,"Action, Comedy, School",TV,False
154,7562,30,1,9,20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,False
154,7562,30,2,134,189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,False
154,7562,30,3,248,384,Gantz,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",TV,True
154,7562,30,4,45,71,Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",TV,False
154,7562,30,5,242,376,Elfen Lied Special,"Drama, Ecchi, Horror, Psychological, Supernatural",Special,False
154,7562,30,6,468,857,Air Gear,"Action, Comedy, Ecchi, Shounen, Sports",TV,False
154,7562,30,7,156,225,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power",TV,False
154,7562,30,8,1376,8074,Highschool of the Dead,"Action, Ecchi, Horror, Supernatural",TV,False
154,7562,30,9,278,430,Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",Movie,False
