model,epoch,loss,completed_batches,loss_examples,violation_rate
default_hybrid_warp_style,1,7.169491439,25,99655,0.999859535061
default_hybrid_warp_style,2,5.86274375654,25,88015,0.883072971536
default_hybrid_warp_style,3,6.39623619242,25,73355,0.735986114037
default_hybrid_warp_style,4,6.4528424538,25,68401,0.68628159207
default_hybrid_warp_style,5,6.20688190441,25,65009,0.652248944005
default_hybrid_warp_style,6,6.01882264872,25,61815,0.620202871505
default_hybrid_warp_style,7,6.03854593962,25,59402,0.595992735956
default_hybrid_warp_style,8,5.90818018357,25,56988,0.571772567197
tuned_hybrid_warp_style,1,16.0245346094,25,99669,1
tuned_hybrid_warp_style,2,11.753780136,25,95021,0.953365640269
tuned_hybrid_warp_style,3,13.2862958726,25,68065,0.682910433535
tuned_hybrid_warp_style,4,13.0205502177,25,60850,0.610520823927
tuned_hybrid_warp_style,5,12.1719827803,25,56311,0.564980084078
tuned_hybrid_warp_style,6,11.8590133987,25,52586,0.527606377108
tuned_hybrid_warp_style,7,11.4980898217,25,49212,0.493754326822
tuned_hybrid_warp_style,8,11.1550708529,25,45960,0.461126328146
tuned_hybrid_warp_style,9,10.9073219856,25,43244,0.43387612999
tuned_hybrid_warp_style,10,10.5409848857,25,40624,0.407589119987
