trial_number,state,objective_value,batch_size,epochs,latent_dim,learning_rate,margin,max_sampled,metadata_weight,weight_decay,catalog_coverage_at_10,duration_seconds,final_train_loss,hit_rate_at_10,intra_list_diversity_at_10,is_default_trial,ndcg_at_10,parameter_count,precision_at_10,recall_at_10,recommendation_shape,sampled_auc
0,COMPLETE,0.0953271028037,4096,8,32,0.01,1,10,1,1e-06,0.334290401969,5.5471061999,5.87790493062,0.616154873164,0.574259587657,True,0.159897065469,131457,0.0953271028037,0.16977533692,"[1498, 10]",0.914764178547
1,COMPLETE,0.0728304405874,2048,6,32,0.0021146536167,1,5,1.75,7.57947995335e-05,0.147662018048,2.53421419999,5.92826460285,0.512016021362,0.519166385071,False,0.118625183151,131457,0.0728304405874,0.129053705096,"[1498, 10]",0.877258410462
2,COMPLETE,0.09826435247,4096,10,64,0.00805038450527,2,5,0.25,2.34238498471e-06,0.341263330599,4.58082969999,10.4378030573,0.634178905207,0.590492546499,False,0.164174426191,258977,0.09826435247,0.180062578453,"[1498, 10]",0.919925287055
3,COMPLETE,0.0338451268358,8192,6,16,0.00403068510106,2,10,0.75,4.46775281797e-06,0.0762920426579,1.5327786,11.2019097523,0.275033377837,0.406979771706,False,0.050172230786,67697,0.0338451268358,0.0589014849225,"[1498, 10]",0.816514716263
4,COMPLETE,0.0421895861148,8192,6,32,0.00417024163687,1.75,10,0.75,2.0651425579e-05,0.0939294503692,1.76784950006,9.09461420075,0.335113484646,0.427906811794,False,0.0643448244601,131457,0.0421895861148,0.0711895758333,"[1498, 10]",0.83212177655
5,COMPLETE,0.0682910547397,4096,10,64,0.0249740235946,0.5,5,0.25,1.90250051658e-08,0.635767022149,5.19671180006,6.37618312287,0.494659546061,0.637722197199,False,0.113910393852,258977,0.0682910547397,0.1246263539,"[1498, 10]",0.876494238327
6,COMPLETE,0.0890520694259,4096,10,64,0.0132114034088,1.5,20,0.25,2.0994115161e-07,0.516406890894,10.6681067001,6.7501113223,0.57476635514,0.625438034196,False,0.15000165433,258977,0.0890520694259,0.162710055075,"[1498, 10]",0.903664681972
7,COMPLETE,0.0977303070761,2048,10,48,0.00571315689873,2,5,1.75,2.8851281847e-07,0.320754716981,4.9555691001,11.9720310179,0.611481975968,0.574320427904,False,0.161572474694,195217,0.0977303070761,0.173412498416,"[1498, 10]",0.917290439435
8,COMPLETE,0.0926568758344,4096,8,64,0.0179854650995,1.5,20,1.25,4.01849296798e-06,0.511074651354,8.54097620002,7.42323569579,0.601468624833,0.611857264607,False,0.154612999948,258977,0.0926568758344,0.169460200991,"[1498, 10]",0.908663150485
9,COMPLETE,0.0833778371162,4096,10,48,0.00809837824273,0.5,5,0.25,1.12865513775e-08,0.456111566858,4.49072040012,2.86487991777,0.56608811749,0.610208169113,False,0.13678906422,195217,0.0833778371162,0.150260430706,"[1498, 10]",0.903483778909
10,COMPLETE,0.0783711615487,2048,10,16,0.00313140536335,1.25,5,1.25,1.50655359655e-07,0.163248564397,3.98146329983,8.1651875477,0.530707610147,0.545451661296,False,0.129991619829,67697,0.0783711615487,0.137702444915,"[1498, 10]",0.891940341433
11,COMPLETE,0.0954606141522,2048,10,48,0.00582297546054,2,5,2,1.67871522479e-07,0.33100902379,4.97489549988,11.934658461,0.602803738318,0.575258842855,False,0.15951651794,195217,0.0954606141522,0.170658220609,"[1498, 10]",0.916742819997
12,COMPLETE,0.0979305740988,2048,10,48,0.00681535135232,2,5,1.75,1.01001368461e-06,0.351107465135,5.0032391001,11.9511226388,0.610814419226,0.57896749723,False,0.160286297452,195217,0.0979305740988,0.169979346454,"[1498, 10]",0.91683896601
13,COMPLETE,0.0919893190921,2048,10,64,0.0110531288957,1.75,5,1.5,1.7044695122e-06,0.500820344545,5.7035224,10.1363299571,0.592790387183,0.602144195346,False,0.153437318838,258977,0.0919893190921,0.165335798671,"[1498, 10]",0.909042705542
14,COMPLETE,0.0845126835781,8192,10,48,0.00645622008218,1.75,5,0.75,1.20829695717e-05,0.182116488925,3.53686250001,10.9569990014,0.555407209613,0.555351899735,False,0.137276650088,195217,0.0845126835781,0.145989251297,"[1498, 10]",0.8987121527
